,time,mnvel,errvel,bc,tel
0,2457926.071,45.69981932,1.898860812,6141.46,hires_j
1,2457941.012,10.642688,1.851622105,3568.175,hires_j
2,2457942.998,9.888492348,2.055988073,3220.364,hires_j
3,2457965.03,15.54176346,2.045533895,-1144.463,hires_j
4,2457994.988,42.46697698,2.015862703,-6671.095,hires_j
5,2458002.894,66.37022665,2.00045085,-7833.876,hires_j
6,2458019.817,-36.83579709,1.951455593,-10000.65,hires_j
7,2458020.836,-20.08754158,1.875708699,-10143.216,hires_j
8,2458023.763,-45.30780131,1.764143229,-10327.657,hires_j
9,2458028.779,-78.39354923,1.806379676,-10825.054,hires_j
10,2458029.791,-65.23430886,2.12582922,-10930.348,hires_j
11,2458263.1,65.58178007,1.869027853,9951.897,hires_j
12,2458267.056,32.33437207,1.991803527,9609.291,hires_j
13,2458291.085,-27.24929809,1.699492455,6150.651,hires_j
14,2458292.065,-13.85315335,1.827487469,6019.268,hires_j
15,2458293.013,-6.887662296,1.744847655,5951.213,hires_j
16,2458294.078,5.585609063,1.82878387,5656.947,hires_j
17,2458294.868,17.09843215,1.722516656,5897.353,hires_j
18,2458295.91,27.86710384,1.916236997,5647.843,hires_j
19,2458298.896,32.9981214,1.833413839,5145.676,hires_j
20,2458299.916,46.61884879,1.845419049,4927.853,hires_j
21,2458300.938,38.91432235,1.672985911,4701.829,hires_j
22,2458302.116,46.57106005,2.25165987,4194.876,hires_j
23,2458303.944,39.07969397,1.688971996,4138.558,hires_j
24,2458307.923,28.3655319,1.771014214,3431.186,hires_j
25,2458330.983,43.77847155,2.110342979,-1210.252,hires_j
26,2458344.963,34.84180004,2.068139076,-3909.213,hires_j
27,2458349.874,-12.61680552,1.872344494,-4682.939,hires_j
28,2458350.805,-20.45161434,1.947215438,-4723.659,hires_j
29,2458360.987,-19.74006352,2.035484552,-6785.138,hires_j
30,2458363.9,-21.36504654,1.868177176,-7169.371,hires_j
31,2458364.958,-22.30356514,2.194939375,-7408.904,hires_j
32,2458382.868,94.35163109,2.135500431,-9812.092,hires_j
33,2458391.808,47.90010139,2.035406113,-10671.982,hires_j
34,2458393.9,35.06437801,1.994514823,-10963.488,hires_j
35,2458567.097,-24.42515161,2.262424707,10251.302,hires_j
36,2458592.992,13.13316224,2.126194954,11803.33,hires_j
37,2458617.973,-69.54875128,1.908253908,11085.152,hires_j
38,2458623.029,-43.80685244,1.850664973,10594.818,hires_j
39,2458627.934,-6.880540219,1.625111818,10294.52,hires_j
40,2458663.04,-65.98335062,1.960733056,5081.916,hires_j
41,2458679.824,29.05074315,1.76347816,2322.67,hires_j
42,2458709.975,20.36051128,2.250486135,-3869.748,hires_j
43,2458714.882,40.69827085,1.798147082,-4642.63,hires_j
44,2458722.951,56.44543627,2.078085184,-6198.226,hires_j
45,2458999.986,-76.31304107,1.732989907,9464.499,hires_j
46,2459007.95,-29.6943741,1.948128939,8500.55,hires_j
47,2459026.002,24.76017257,1.730038166,5550.019,hires_j
48,2459029.011,4.885486956,1.731300473,5000.789,hires_j
49,2459040.991,-63.33905549,1.896228194,2815.012,hires_j
50,2459058.023,-8.523142486,2.065299034,-584.157,hires_j
51,2459079,-6.916838792,1.997973084,-4601.682,hires_j
52,2459117.931,-51.14340784,1.873352051,-10369.615,hires_j
53,2459386.899,-38.04749749,1.974656701,6488.021,hires_j
54,2459415.914,-33.93460215,1.951853156,1065.469,hires_j
55,2459503.853,-49.56005527,2.103170633,-11796.575,hires_j
56,2459748.975,-50.1444529,2.173145533,6879.009,hires_j
57,2460179.886,-33.00701998,1.840296507,-5376.324,hires_j
58,2460203.847,15.42618252,1.892063022,-9112.048,hires_j
